Betweeness Centrality on all courses within file

The betweenness centrality of START is 0
The betweenness centrality of END is 0
The betweenness centrality of ACE 431 is 0.566667
The betweenness centrality of BADM 320 is 14
The betweenness centrality of ACE 432 is 2
The betweenness centrality of ACE 435 is 0.566667
The betweenness centrality of ACE 436 is 0.000256016
The betweenness centrality of ACE 440 is 3.5
The betweenness centrality of ACE 444 is 2.5
The betweenness centrality of ACE 449 is 0.5
The betweenness centrality of ACE 445 is 2.02128
The betweenness centrality of ECON 302 is 64.7778
The betweenness centrality of FIN 230 is 2.66667
The betweenness centrality of ACE 446 is 2.33333
The betweenness centrality of ACE 451 is 0.0212766
The betweenness centrality of ACE 452 is 0.000256016
The betweenness centrality of ACE 455 is 0.333333
The betweenness centrality of ACE 456 is 0.0212766
The betweenness centrality of ACE 474 is 0.333333
The betweenness centrality of ACE 476 is 0.0212766
The betweenness centrality of ACE 496 is 0.000256016
The betweenness centrality of ACE 499 is 0.000256016
The betweenness centrality of ACE 500 is 3
The betweenness centrality of ACE 501 is 4
The betweenness centrality of ECON 500 is 19.8095
The betweenness centrality of ECON 506 is 0
The betweenness centrality of ACE 502 is 0.333333
The betweenness centrality of ACE 503 is 0.0833333
The betweenness centrality of ACE 510 is 0.0212766
The betweenness centrality of ACE 516 is 0.0212766
The betweenness centrality of ACE 520 is 1.08333
The betweenness centrality of ACE 562 is 21.6786
The betweenness centrality of ACE 563 is 11.9286
The betweenness centrality of ACE 528 is 0.0833333
The betweenness centrality of ACE 530 is 0.666667
The betweenness centrality of ECON 507 is 0
The betweenness centrality of ACE 531 is 0.416667
The betweenness centrality of ACE 532 is 2.5
The betweenness centrality of ACE 564 is 0
The betweenness centrality of ECON 535 is 4.25
The betweenness centrality of ACE 542 is 0.0833333
The betweenness centrality of ACE 557 is 0.666667
The betweenness centrality of ACE 559 is 0.666667
The betweenness centrality of ACE 561 is 1
The betweenness centrality of ACE 567 is 0.5
The betweenness centrality of ACE 569 is 1
The betweenness centrality of ACE 571 is 0.0833333
The betweenness centrality of ACE 591 is 0.000256016
The betweenness centrality of ACE 592 is 0.000256016
The betweenness centrality of ACE 594 is 0.000256016
The betweenness centrality of ACE 599 is 0.000256016
The betweenness centrality of ACES 101 is 0.000256016
The betweenness centrality of ACES 102 is 0.000256016
The betweenness centrality of ACES 179 is 0.000256016
The betweenness centrality of ACES 199 is 0.000256016
The betweenness centrality of ACES 200 is 0.000256016
The betweenness centrality of ACES 293 is 0.000256016
The betweenness centrality of ACES 295 is 0.000256016
The betweenness centrality of ACES 298 is 0.000256016
The betweenness centrality of ACES 299 is 0.000256016
The betweenness centrality of ACES 396 is 0.000256016
The betweenness centrality of ACES 399 is 0.000256016
The betweenness centrality of ACES 499 is 0.000256016
The betweenness centrality of ADV 150 is 17
The betweenness centrality of ADV 199 is 0.000256016
The betweenness centrality of ADV 270 is 2
The betweenness centrality of ADV 281 is 38
The betweenness centrality of STAT 100 is 16
The betweenness centrality of ADV 283 is 15.5
The betweenness centrality of ADV 284 is 19.5
The betweenness centrality of ADV 290 is 0.000256016
The betweenness centrality of ADV 305 is 0.166667
The betweenness centrality of ADV 310 is 2
The betweenness centrality of ADV 311 is 0.000256016
The betweenness centrality of ADV 312 is 0.000256016
The betweenness centrality of ADV 315 is 0.666667
The betweenness centrality of AGCM 220 is 1
The betweenness centrality of ADV 320 is 0.5
The betweenness centrality of ADV 350 is 0.5
The betweenness centrality of ADV 370 is 0.5
The betweenness centrality of ADV 390 is 12.75
The betweenness centrality of ADV 393 is 0.000256016
The betweenness centrality of ADV 396 is 0.416667
The betweenness centrality of ADV 400 is 0.000256016
The betweenness centrality of ADV 409 is 0.000256016
The betweenness centrality of ADV 410 is 0.5
The betweenness centrality of ADV 452 is 7
The betweenness centrality of ADV 454 is 1
The betweenness centrality of ADV 460 is 4.5
The betweenness centrality of ADV 461 is 2
The betweenness centrality of ADV 483 is 3.75
The betweenness centrality of ADV 476 is 0.166667
The betweenness centrality of ADV 478 is 0.25
The betweenness centrality of ADV 482 is 0.416667
The betweenness centrality of ADV 490 is 0.000256016
The betweenness centrality of ADV 491 is 0.25
The betweenness centrality of ADV 492 is 0.105263
The betweenness centrality of CS 225 is 1081.52
The betweenness centrality of ADV 495 is 0.000256016
The betweenness centrality of ADV 496 is 0.000256016
The betweenness centrality of ADV 498 is 3
The betweenness centrality of ADV 509 is 0.000256016
The betweenness centrality of ADV 550 is 0.000256016
The betweenness centrality of ADV 580 is 0.000256016
The betweenness centrality of ADV 581 is 0.000256016
The betweenness centrality of ADV 582 is 0.000256016
The betweenness centrality of ADV 587 is 3
The betweenness centrality of ADV 588 is 5
The betweenness centrality of ADV 590 is 0.000256016
The betweenness centrality of ADV 594 is 0.000256016
The betweenness centrality of ADV 598 is 1
The betweenness centrality of ADV 599 is 1
The betweenness centrality of AE 100 is 0.000256016
The betweenness centrality of AE 140 is 0.000256016
The betweenness centrality of AE 199 is 0.000256016
The betweenness centrality of AE 202 is 112.133
The betweenness centrality of AE 298 is 0.000256016
The betweenness centrality of AE 311 is 141
The betweenness centrality of MATH 241 is 1273.76
The betweenness centrality of AE 312 is 55.4083
The betweenness centrality of AE 321 is 40.7049
The betweenness centrality of TAM 210 is 480.761
The betweenness centrality of TAM 211 is 480.761
The betweenness centrality of AE 323 is 36.1333
The betweenness centrality of AE 352 is 68.9817
The betweenness centrality of AE 353 is 20.1333
The betweenness centrality of AE 370 is 6.6
The betweenness centrality of AE 395 is 0.000256016
The betweenness centrality of AE 396 is 0.000256016
The betweenness centrality of AE 397 is 0.000256016
The betweenness centrality of AE 402 is 12
The betweenness centrality of AE 403 is 0.47619
The betweenness centrality of AE 410 is 0.291667
The betweenness centrality of AE 412 is 21
The betweenness centrality of ME 310 is 112.258
The betweenness centrality of AE 416 is 13
The betweenness centrality of AE 419 is 0.666667
The betweenness centrality of AE 420 is 7.33333
The betweenness centrality of CS 101 is 230.161
The betweenness centrality of ME 371 is 157
The betweenness centrality of TAM 470 is 80.8333
The betweenness centrality of AE 428 is 0.934314
The betweenness centrality of CEE 300 is 168.117
The betweenness centrality of ME 330 is 95.6667
The betweenness centrality of MSE 206 is 22.9833
The betweenness centrality of AE 433 is 26.1667
The betweenness centrality of PHYS 212 is 406.602
The betweenness centrality of AE 434 is 0.5
The betweenness centrality of AE 435 is 0.333333
The betweenness centrality of AE 442 is 52
The betweenness centrality of AE 443 is 0
The betweenness centrality of AE 451 is 20
The betweenness centrality of TAM 251 is 700.053
The betweenness centrality of TAM 412 is 78.3651
The betweenness centrality of AE 452 is 0.592857
The betweenness centrality of ME 340 is 129.162
The betweenness centrality of AE 460 is 0
The betweenness centrality of AE 461 is 0.460504
The betweenness centrality of AE 468 is 0.198413
The betweenness centrality of ECE 313 is 152.938
The betweenness centrality of ECE 329 is 237.267
The betweenness centrality of AE 482 is 0.68085
The betweenness centrality of MATH 286 is 205.946
The betweenness centrality of MATH 415 is 207.596
The betweenness centrality of MATH 418 is 60.375
The betweenness centrality of AE 483 is 2.95238
The betweenness centrality of AE 484 is 0.458333
The betweenness centrality of AE 485 is 0.491667
The betweenness centrality of AE 497 is 0.000256016
The betweenness centrality of AE 498 is 0.000256016
The betweenness centrality of AE 502 is 1
The betweenness centrality of AE 504 is 0.142857
The betweenness centrality of AE 510 is 0.25
The betweenness centrality of ME 410 is 64
The betweenness centrality of AE 512 is 0.491667
The betweenness centrality of AE 514 is 1
The betweenness centrality of AE 515 is 1
The betweenness centrality of AE 522 is 0.326923
The betweenness centrality of TAM 451 is 44
The betweenness centrality of TAM 551 is 120.493
The betweenness centrality of AE 523 is 0.326923
The betweenness centrality of AE 528 is 0.567647
The betweenness centrality of AE 538 is 0.375
The betweenness centrality of AE 542 is 51
The betweenness centrality of CEE 465 is 8
The betweenness centrality of CS 492 is 2.66667
The betweenness centrality of CS 493 is 0
The betweenness centrality of ECE 411 is 85.5
The betweenness centrality of ECE 445 is 0.666667
The betweenness centrality of ME 470 is 0.666667
The betweenness centrality of AE 543 is 7
The betweenness centrality of AE 550 is 1
The betweenness centrality of AE 551 is 0.610256
The betweenness centrality of TAM 542 is 16
The betweenness centrality of AE 554 is 1.09286
The betweenness centrality of TAM 416 is 0
The betweenness centrality of AE 555 is 0.0714286
The betweenness centrality of ECE 515 is 122.5
The betweenness centrality of AE 556 is 0.404762
The betweenness centrality of MATH 446 is 17.2
The betweenness centrality of AE 564 is 1.625
The betweenness centrality of AE 590 is 0.000256016
The betweenness centrality of AE 597 is 0.000256016
The betweenness centrality of AE 598 is 0.000256016
The betweenness centrality of AE 599 is 0.000256016
The betweenness centrality of AFAS 102 is 8
The betweenness centrality of AFAS 111 is 15
The betweenness centrality of AFAS 112 is 20
The betweenness centrality of AFAS 120 is 0.000256016
The betweenness centrality of AFAS 221 is 23
The betweenness centrality of AFAS 222 is 24
The betweenness centrality of AFAS 331 is 23
The betweenness centrality of AFAS 332 is 20
The betweenness centrality of AFAS 341 is 15
The betweenness centrality of AFAS 342 is 8
The betweenness centrality of AFRO 101 is 2.5
The betweenness centrality of AFRO 103 is 1
The betweenness centrality of AFRO 105 is 0.000256016
The betweenness centrality of AFRO 106 is 0.000256016
The betweenness centrality of AFRO 132 is 0.000256016
The betweenness centrality of AFRO 134 is 0.000256016
The betweenness centrality of AFRO 199 is 0.000256016
The betweenness centrality of AFRO 201 is 0.000256016
The betweenness centrality of AFRO 212 is 0.000256016
The betweenness centrality of AFRO 215 is 0.94359
The betweenness centrality of AFRO 220 is 0
The betweenness centrality of AFRO 221 is 0.000256016
The betweenness centrality of AFRO 224 is 1
The betweenness centrality of AFRO 226 is 0.000256016
The betweenness centrality of AFRO 228 is 0.000256016
The betweenness centrality of AFRO 243 is 0.000256016
The betweenness centrality of AFRO 250 is 0.000256016
The betweenness centrality of AFRO 259 is 0.000256016
The betweenness centrality of AFRO 260 is 0.000256016
The betweenness centrality of AFRO 261 is 0.000256016
The betweenness centrality of AFRO 275 is 0.000256016
The betweenness centrality of AFRO 276 is 0.000256016
The betweenness centrality of AFRO 281 is 0.000256016
The betweenness centrality of AFRO 287 is 0.000256016
The betweenness centrality of AFRO 298 is 0.24359
The betweenness centrality of AFRO 310 is 0.000256016
The betweenness centrality of AFRO 312 is 0.0434783
The betweenness centrality of PSYC 100 is 69.5
The betweenness centrality of AFRO 340 is 0.000256016
The betweenness centrality of AFRO 343 is 0.000256016
The betweenness centrality of AFRO 383 is 0.576923
The betweenness centrality of AFRO 398 is 4.33333
The betweenness centrality of ENGL 259 is 0.25
The betweenness centrality of ENGL 260 is 0.25
The betweenness centrality of HIST 275 is 0.25
The betweenness centrality of HIST 276 is 1.25
The betweenness centrality of AFRO 411 is 0.0769231
The betweenness centrality of AFRO 421 is 0.000256016
The betweenness centrality of AFRO 465 is 0.000256016
The betweenness centrality of AFRO 474 is 0.5
The betweenness centrality of AFRO 481 is 0.000256016
The betweenness centrality of AFRO 482 is 0.000256016
The betweenness centrality of AFRO 490 is 0
The betweenness centrality of AFRO 495 is 2.07692
The betweenness centrality of AFRO 498 is 0.000256016
The betweenness centrality of AFRO 500 is 2
The betweenness centrality of AFRO 531 is 0.000256016
The betweenness centrality of AFRO 595 is 0.000256016
The betweenness centrality of AFRO 597 is 0.5
The betweenness centrality of AFRO 598 is 0.5
The betweenness centrality of AFST 103 is 0.000256016
The betweenness centrality of AFST 111 is 0.000256016
The betweenness centrality of AFST 199 is 0.000256016
The betweenness centrality of AFST 210 is 0.000256016
The betweenness centrality of AFST 213 is 0.000256016
The betweenness centrality of AFST 231 is 0.000256016
The betweenness centrality of AFST 232 is 0.5
The betweenness centrality of SWAH 201 is 2
The betweenness centrality of AFST 233 is 0.000256016
The betweenness centrality of AFST 241 is 0.000256016
The betweenness centrality of AFST 242 is 1
The betweenness centrality of WLOF 201 is 10
The betweenness centrality of AFST 243 is 0.000256016
The betweenness centrality of AFST 254 is 0.000256016
The betweenness centrality of AFST 338 is 0.000256016
The betweenness centrality of AFST 405 is 1
The betweenness centrality of SWAH 406 is 32
The betweenness centrality of AFST 406 is 1
The betweenness centrality of SWAH 407 is 30
The betweenness centrality of AFST 407 is 1
The betweenness centrality of SWAH 408 is 24
The betweenness centrality of AFST 408 is 0.5
The betweenness centrality of SWAH 409 is 14
The betweenness centrality of AFST 412 is 0.000256016
The betweenness centrality of AFST 433 is 0.000256016
The betweenness centrality of AFST 434 is 1
The betweenness centrality of SWAH 403 is 14
The betweenness centrality of AFST 435 is 1
The betweenness centrality of SWAH 404 is 24
The betweenness centrality of AFST 436 is 1
The betweenness centrality of SWAH 405 is 30
The betweenness centrality of AFST 443 is 1
The betweenness centrality of WLOF 202 is 16
The betweenness centrality of AFST 444 is 1
The betweenness centrality of WLOF 403 is 18
The betweenness centrality of AFST 445 is 1
The betweenness centrality of WLOF 404 is 16
The betweenness centrality of AFST 446 is 0.5
The betweenness centrality of WLOF 405 is 10
The betweenness centrality of AFST 490 is 0.000256016
The betweenness centrality of AFST 495 is 0.000256016
The betweenness centrality of AFST 510 is 0.000256016
The betweenness centrality of AFST 515 is 0.000256016
The betweenness centrality of AFST 522 is 0.000256016
The betweenness centrality of AFST 550 is 0.000256016
The betweenness centrality of AFST 599 is 0.000256016
The betweenness centrality of AGCM 230 is 0.000256016
The betweenness centrality of AGCM 250 is 0.000256016
The betweenness centrality of AGCM 270 is 0.000256016
The betweenness centrality of AGCM 293 is 0.000256016
The betweenness centrality of AGCM 294 is 0.000256016
The betweenness centrality of AGCM 295 is 0.000256016
The betweenness centrality of AGCM 315 is 0.666667
The betweenness centrality of AGCM 320 is 0.000256016
The betweenness centrality of AGCM 330 is 0.000256016
The betweenness centrality of AGCM 396 is 0.000256016
The betweenness centrality of AGCM 430 is 0.000256016
The betweenness centrality of AGCM 499 is 0.000256016
The betweenness centrality of AGED 199 is 0.000256016
The betweenness centrality of AGED 220 is 5.33333
The betweenness centrality of AGED 250 is 3
The betweenness centrality of EDPR 203 is 0
The betweenness centrality of AGED 260 is 4
The betweenness centrality of AGED 293 is 0.000256016
The betweenness centrality of AGED 295 is 0.000256016
The betweenness centrality of AGED 300 is 1
The betweenness centrality of AGED 280 is 0
The betweenness centrality of AGED 310 is 0.000256016
The betweenness centrality of AGED 350 is 1
The betweenness centrality of AGED 380 is 0.333333
The betweenness centrality of AGED 396 is 0.000256016
The betweenness centrality of AGED 400 is 0.000256016
The betweenness centrality of AGED 410 is 1
The betweenness centrality of AGED 420 is 4
The betweenness centrality of AGED 421 is 1.5
The betweenness centrality of AGED 430 is 1.15459
The betweenness centrality of HDFS 105 is 11.3333
The betweenness centrality of AGED 450 is 0.5
The betweenness centrality of AGED 451 is 0.000256016
The betweenness centrality of AGED 480 is 0.333333
The betweenness centrality of AGED 496 is 0.000256016
The betweenness centrality of AGED 510 is 0.000256016
The betweenness centrality of AGED 511 is 0.000256016
The betweenness centrality of AGED 545 is 0.000256016
The betweenness centrality of AGED 549 is 0.000256016
The betweenness centrality of AGED 550 is 0.000256016
The betweenness centrality of AGED 551 is 0.000256016
The betweenness centrality of AGED 599 is 0.000256016
The betweenness centrality of AHS 125 is 0.000256016
The betweenness centrality of AHS 199 is 0.000256016
The betweenness centrality of AHS 292 is 0.000256016
The betweenness centrality of AHS 365 is 0.000256016
The betweenness centrality of AHS 375 is 0.000256016
The betweenness centrality of AHS 399 is 0.000256016
The betweenness centrality of AHS 494 is 0.000256016
The betweenness centrality of AIS 214 is 0.000256016
The betweenness centrality of AIS 265 is 0.000256016
The betweenness centrality of AIS 275 is 0.000256016
The betweenness centrality of AIS 277 is 0.000256016
The betweenness centrality of AIS 285 is 0.000256016
The betweenness centrality of AIS 295 is 0.94359
The betweenness centrality of AIS 343 is 0.000256016
The betweenness centrality of AIS 357 is 0.000256016
The betweenness centrality of AIS 459 is 0.000256016
The betweenness centrality of AIS 491 is 0.000256016
The betweenness centrality of AIS 503 is 2
The betweenness centrality of AIS 501 is 0
The betweenness centrality of AIS 502 is 0
The betweenness centrality of ALEC 110 is 1
The betweenness centrality of ALEC 199 is 0.000256016
The betweenness centrality of ALEC 295 is 0.000256016
The betweenness centrality of ALEC 393 is 1
The betweenness centrality of ALEC 396 is 0.000256016
The betweenness centrality of ALEC 400 is 0.000256016
The betweenness centrality of ALEC 451 is 0.000256016
The betweenness centrality of ALEC 499 is 0.000256016
The betweenness centrality of ALEC 505 is 1
The betweenness centrality of ALEC 540 is 0.000256016
The betweenness centrality of ALEC 545 is 1
The betweenness centrality of ALEC 549 is 0.000256016
The betweenness centrality of ALEC 599 is 0.000256016
The betweenness centrality of ANSC 100 is 29
The betweenness centrality of ANSC 101 is 0.000256016
The betweenness centrality of ANSC 103 is 0.5
The betweenness centrality of ANSC 110 is 0.000256016
The betweenness centrality of ANSC 199 is 0.000256016
The betweenness centrality of ANSC 201 is 2
The betweenness centrality of ANSC 204 is 2
The betweenness centrality of ANSC 205 is 0.000256016
The betweenness centrality of ANSC 206 is 1
The betweenness centrality of ANSC 207 is 0.5
The betweenness centrality of ANSC 210 is 0.000256016
The betweenness centrality of ANSC 211 is 1
The betweenness centrality of ANSC 215 is 0.000256016
The betweenness centrality of ANSC 219 is 0.000256016
The betweenness centrality of ANSC 221 is 40.5667
The betweenness centrality of CHEM 102 is 348.502
The betweenness centrality of ANSC 222 is 9
The betweenness centrality of ANSC 223 is 141.667
The betweenness centrality of CHEM 104 is 857.664
The betweenness centrality of CHEM 105 is 199.926
The betweenness centrality of ANSC 224 is 17.1667
The betweenness centrality of ANSC 250 is 0.000256016
The betweenness centrality of ANSC 251 is 0.000256016
The betweenness centrality of ANSC 255 is 0.000256016
The betweenness centrality of ANSC 256 is 0.000256016
The betweenness centrality of ANSC 298 is 1
The betweenness centrality of ANSC 301 is 0.277778
The betweenness centrality of ANSC 305 is 0.000256016
The betweenness centrality of ANSC 306 is 1.36667
The betweenness centrality of ANSC 307 is 0.5
The betweenness centrality of ANSC 309 is 0.000256016
The betweenness centrality of ANSC 310 is 0.000256016
The betweenness centrality of ANSC 312 is 1
The betweenness centrality of ANSC 313 is 0.000256016
The betweenness centrality of ANSC 314 is 1
The betweenness centrality of ANSC 322 is 0
The betweenness centrality of ANSC 350 is 20.5333
The betweenness centrality of ANSC 360 is 0.000256016
The betweenness centrality of ANSC 363 is 0.5
The betweenness centrality of ANSC 366 is 0.000256016
The betweenness centrality of ANSC 370 is 0.000256016
The betweenness centrality of ANSC 398 is 0.000256016
The betweenness centrality of ANSC 400 is 1
The betweenness centrality of ANSC 401 is 0.111111
The betweenness centrality of ANSC 402 is 0.111111
The betweenness centrality of ANSC 403 is 2.42063
The betweenness centrality of ANSC 431 is 0
The betweenness centrality of ANSC 467 is 0
The betweenness centrality of ANSC 404 is 0.000256016
The betweenness centrality of ANSC 406 is 0.342857
The betweenness centrality of IB 104 is 7.83333
The betweenness centrality of ANSC 407 is 2
The betweenness centrality of ANSC 409 is 0.620635
The betweenness centrality of ANSC 420 is 2
The betweenness centrality of ANSC 422 is 13
The betweenness centrality of ANSC 424 is 0.944444
The betweenness centrality of ANSC 438 is 0.166667
The betweenness centrality of ANSC 440 is 0.142857
The betweenness centrality of ANSC 441 is 0.25
The betweenness centrality of ANTH 102 is 19.5
